Group,N,Age_Mean,Age_Std,Sex_M_Count,Sex_F_Count,Sex_M_Percent,plaque_index_Mean,plaque_index_Std,gingival_index_Mean,gingival_index_Std,pocket_depth_Mean,pocket_depth_Std,bleeding_on_probing_Mean,bleeding_on_probing_Std,number_of_missing_teeth_Mean,number_of_missing_teeth_Std
S,36,24.305555555555557,3.701887120641073,17,19,47.22222222222222,0.44055555555555553,0.2409616975424511,0.5005555555555554,0.23808695223677595,1.9772222222222215,0.20700049842743456,5.781944444444443,3.067265715299861,0.3888888888888889,1.0495652917219118
G,36,22.444444444444443,1.697804371103951,16,20,44.44444444444444,1.0750000000000002,0.5394256204519766,1.2116666666666667,0.4042523964060077,2.2111111111111104,0.3168034792177076,25.012222222222224,13.583070789165905,0.4444444444444444,0.9693722399999597
P,36,30.27777777777778,5.784763786317646,18,18,50.0,1.7394444444444441,0.5123444401931434,1.6722222222222225,0.4062449022879187,3.918888888888889,0.6847013020404394,64.34694444444445,18.755840967464653,1.1111111111111112,1.0358647947564745
