Clinical_Variable,Correlation,P_Value
plaque_index,-0.661359458807921,6.660874928738673e-15
gingival_index,-0.6050463234556163,4.050913533216578e-12
pocket_depth,-0.8144497122924288,8.266633403249708e-27
bleeding_on_probing,-0.7547603509933236,3.974813866233714e-21
number_of_missing_teeth,-0.23781358997316487,0.01319960009787498
