miRNA,Group1,Group2,Comparison,Mann_Whitney_U,P_Value,Log2_FC,Effect_Size,Median_Diff,Q_Value,FDR_Significant,Effect_Size_Large,Log2FC_Threshold
mir146a,S,G,H_vs_G,331.5,0.00037227240502811537,-0.5232794198044427,-0.8525006272254674,-0.44343118424302475,0.0007445448100562307,True,True,False
mir146b,S,G,H_vs_G,306.0,0.00011996600937369604,-0.4999229800493754,-0.9373855198668524,-0.43963337121491186,0.0005923039446592775,True,True,False
mir155,S,G,H_vs_G,317.0,0.00019743464821975917,-0.37666666999999887,-0.9242883761544628,-0.31865278383647566,0.0005923039446592775,True,True,False
mir203,S,G,H_vs_G,421.0,0.010739824973525127,-0.28319855581052905,-0.6815381991792246,-0.21024930082163273,0.012887789968230152,True,False,False
mir223,S,G,H_vs_G,449.5,0.02574829725781908,-0.10469677056773244,-0.654702609584864,-0.07849676968270147,0.02574829725781908,True,False,False
mir381p,S,G,H_vs_G,353.5,0.0009283725640516991,-0.25986137500398354,-0.7033487271737525,-0.20091015171161408,0.0013925588460775489,True,False,False
