Problem,Model,Accuracy,AUC,CV_Mean_AUC,CV_Std_AUC,N_Train,N_Test
Healthy_vs_Periodontitis,Logistic_Regression,1.0,1.0,1.0,0.0,57,15
Healthy_vs_Periodontitis,Random_Forest,1.0,1.0,1.0,0.0,57,15
Healthy_vs_Gingivitis,Logistic_Regression,1.0,1.0,0.9811111111111112,0.0261996136056702,57,15
Healthy_vs_Gingivitis,Random_Forest,1.0,1.0,1.0,0.0,57,15
Gingivitis_vs_Periodontitis,Logistic_Regression,0.9333333333333333,1.0,0.9866666666666667,0.02666666666666666,57,15
Gingivitis_vs_Periodontitis,Random_Forest,1.0,1.0,0.9866666666666667,0.02666666666666666,57,15
