miRNA,Comparison,Log2_FC,P_Value,Q_Value,Effect_Size
mir146a,H_vs_P,-1.0751684656148022,2.7444974164045234e-10,3.2933968996854277e-10,-1.561925276441845
mir155,H_vs_P,-1.2716791799073357,4.491373913596504e-12,1.3474121740789511e-11,-2.286209702620601
mir203,H_vs_P,-1.5902464226680553,4.610501281626202e-13,2.7663007689757212e-12,-1.9258576214165206
mir203,G_vs_P,-1.3070478668575263,4.658369440859663e-07,2.795021664515798e-06,-0.9212084313160015
mir223,H_vs_P,-1.6113788387315506,1.7045048014513384e-11,3.409009602902677e-11,-1.8268622043191363
mir223,G_vs_P,-1.5066820681638182,1.2445140254219108e-06,3.7335420762657325e-06,-1.030298822722743
mir381p,H_vs_P,-1.8898652258336328,9.075257314460427e-11,1.3612885971690642e-10,-2.044475791853092
mir381p,G_vs_P,-1.630003850829649,2.8749600826837926e-06,4.313231432829091e-06,-1.0534404661384986
