miRNA,Group1,Group2,Comparison,Mann_Whitney_U,P_Value,Log2_FC,Effect_Size,Median_Diff,Q_Value,FDR_Significant,Effect_Size_Large,Log2FC_Threshold
mir146a,G,P,G_vs_P,293.0,6.53676827788129e-05,-0.5518890458103596,-0.7263530734430732,-0.6792664186053741,7.844121933457548e-05,True,False,False
mir146b,G,P,G_vs_P,333.5,0.00040559575950837196,-0.3883323722977208,-0.6933002955126695,-0.46368869954605985,0.00040559575950837196,True,False,False
mir155,G,P,G_vs_P,232.0,2.8754876218860605e-06,-0.8950125099073367,-1.1110680141235718,-1.1920810829491384,4.313231432829091e-06,True,True,False
mir203,G,P,G_vs_P,200.0,4.658369440859663e-07,-1.3070478668575263,-0.9212084313160015,-1.739187343130648,2.795021664515798e-06,True,True,True
mir223,G,P,G_vs_P,217.0,1.2445140254219108e-06,-1.5066820681638182,-1.030298822722743,-2.0651021290111062,3.7335420762657325e-06,True,True,True
mir381p,G,P,G_vs_P,232.0,2.8749600826837926e-06,-1.630003850829649,-1.0534404661384986,-2.553721148035181,4.313231432829091e-06,True,True,True
