miRNA,Group1,Group2,Comparison,Mann_Whitney_U,P_Value,Log2_FC,Effect_Size,Median_Diff,Q_Value,FDR_Significant,Effect_Size_Large,Log2FC_Threshold
mir146a,S,P,H_vs_P,87.0,2.7444974164045234e-10,-1.0751684656148022,-1.561925276441845,-1.1226976028483988,3.2933968996854277e-10,True,True,True
mir146b,S,P,H_vs_P,103.0,8.652796202414898e-10,-0.8882553523470962,-1.5655907118854866,-0.9033220707609717,8.652796202414898e-10,True,True,False
mir155,S,P,H_vs_P,33.0,4.491373913596504e-12,-1.2716791799073357,-2.286209702620601,-1.510733866785614,1.3474121740789511e-11,True,True,True
mir203,S,P,H_vs_P,5.0,4.610501281626202e-13,-1.5902464226680553,-1.9258576214165206,-1.9494366439522808,2.7663007689757212e-12,True,True,True
mir223,S,P,H_vs_P,50.0,1.7045048014513384e-11,-1.6113788387315506,-1.8268622043191363,-2.1435988986938077,3.409009602902677e-11,True,True,True
mir381p,S,P,H_vs_P,72.0,9.075257314460427e-11,-1.8898652258336328,-2.044475791853092,-2.754631299746795,1.3612885971690642e-10,True,True,True
