Clinical_Variable,Correlation,plaque_index,gingival_index,pocket_depth,bleeding_on_probing,number_of_missing_teeth,P_Value
plaque_index,-0.6613594588079212,1,0.8602009826297209,0.7206203697693793,0.8425129236715698,0.2206732968989761,6.6608749287385045e-15
gingival_index,-0.6050463234556162,0.8602009826297209,1,0.7087161961603231,0.879442879839927,0.19073475677913437,4.050913533216607e-12
pocket_depth,-0.8144497122924288,0.7206203697693793,0.7087161961603231,1,0.8161314842392074,0.3341378950837213,8.266633403249778e-27
bleeding_on_probing,-0.7547603509933237,0.8425129236715698,0.879442879839927,0.8161314842392074,1,0.23262041745887893,3.974813866233585e-21
number_of_missing_teeth,-0.23781358997316487,0.2206732968989761,0.19073475677913437,0.3341378950837213,0.23262041745887893,1,0.01319960009787495
