comparison,p_value,log2fc,cliffs_delta,median_group1,median_group2,miRNA,omnibus_p,q_value,is_significant,significance_level,log2fc_ci_lower,log2fc_ci_upper,ci_excludes_zero
S vs P,2.744497416404531e-10,1.075000004999998,-0.8657407407407407,0.020277777777778356,1.0952777827777762,mir146a,1.2504538480147556e-10,9.880190699056312e-10,TRUE,***,-0.4617916602499986,0.42175000325000367,FALSE
S vs P,8.652796202414934e-10,0.8883333300000016,-0.8410493827160493,0.0861111111111098,0.9744444411111114,mir146b,4.122814807422163e-10,2.5958388607244802e-9,FALSE,***,-0.40837500162499996,0.3823333317500001,FALSE
S vs P,4.4913739135965086e-12,1.2716666650000013,-0.9490740740740741,0.0949999999999981,1.3666666649999994,mir155,8.25963622825416e-13,4.0422365222368576e-11,TRUE,***,-0.5100416667499962,0.5250833382500008,FALSE
S vs P,4.610501281626228e-13,1.5900000000000019,-0.9922839506172839,-0.045000000000000505,1.5450000000000013,mir203,5.329228226908123e-13,8.29890230692721e-12,TRUE,***,-0.806999998499998,0.8318333366250007,FALSE
S vs P,1.70450480145134e-11,1.6116666650000016,-0.9228395061728395,0.0602777777777768,1.6719444427777783,mir223,1.8037520112313103e-11,1.022702880870804e-10,TRUE,***,-0.9037083347500026,0.9335833298749983,FALSE
S vs P,9.075257314460441e-11,1.889999999999997,-0.8888888888888888,0.02555555555555977,1.9155555555555568,mir381p,1.5800160038234564e-11,4.0838657915071985e-10,TRUE,***,-1.0167083317500023,0.9535416732500037,FALSE
