,test,statistic,p_value,S_mean,G_mean,P_mean
AGE,Kruskal-Wallis,53.755738787618604,2.1236827378999063e-12,,,
SEX,Chi-square,0.22291021671826627,0.8945315474908988,,,
plaque_index,ANOVA,74.50073688620289,7.21997651582252e-21,0.44055555555555553,1.0750000000000002,1.7394444444444441
gingival_index,Kruskal-Wallis,76.52888844954303,2.4097002354299662e-17,0.5005555555555554,1.2116666666666667,1.6722222222222225
pocket_depth,Kruskal-Wallis,74.35977921817768,7.128187338001895e-17,1.9772222222222215,2.2111111111111104,3.918888888888889
bleeding_on_probing,Kruskal-Wallis,90.27290619220194,2.4973964364151174e-20,5.781944444444443,25.012222222222224,64.34694444444445
