miRNA,log2FC,q_value,effect_size
mir146a,1.2414292388181216,3.2933968996854277e-10,0.8657407407407407
mir146b,1.183425823993707,8.652796202414898e-10,0.8410493827160493
mir155,1.2615267776806007,1.3474121740789511e-11,0.9490740740740741
mir203,1.7082399876027856,2.7663007689757212e-12,0.9922839506172839
mir223,1.9077235420768928,3.409009602902677e-11,0.9228395061728395
mir381p,1.8011908021553207,1.3612885971690642e-10,0.8888888888888888
