,group1_mean,group2_mean,log2FC,u_statistic,p_value,effect_size,q_value,significant_fdr
mir146a,1.726777906388761,2.548481502227734,0.5615553425199906,293.0,6.53676827788129e-05,0.5478395061728395,7.844121933457548e-05,True
mir146b,1.7351071827168538,2.452390091433232,0.49916369563949975,333.5,0.00040559575950837196,0.4853395061728395,0.00040559575950837196,True
mir155,1.6271984499084367,2.535490313307106,0.6398745527051785,232.0,2.8754876218860605e-06,0.6419753086419753,4.313231432829091e-06,True
mir203,1.8212485265204894,3.35253048873427,0.8803226473327321,200.0,4.658369440859663e-07,0.691358024691358,2.795021664515798e-06,True
mir223,1.8456581895813085,3.8776974894282272,1.0710648640748013,217.0,1.2445140254219108e-06,0.6651234567901234,3.7335420762657325e-06,True
mir381p,1.821129714020464,3.5767203983623665,0.9738036583340278,232.0,2.8749600826837926e-06,0.6419753086419753,4.313231432829091e-06,True
