,group1_mean,group2_mean,log2FC,u_statistic,p_value,effect_size,q_value,significant_fdr
mir146a,1.0778890183210443,2.548481502227734,1.2414292388181216,87.0,2.7444974164045234e-10,0.8657407407407407,3.2933968996854277e-10,True
mir146b,1.0797989033967612,2.452390091433232,1.183425823993707,103.0,8.652796202414898e-10,0.8410493827160493,8.652796202414898e-10,True
mir155,1.0575588776660314,2.535490313307106,1.2615267776806007,33.0,4.491373913596504e-12,0.9490740740740741,1.3474121740789511e-11,True
mir203,1.0259855874534751,3.35253048873427,1.7082399876027856,5.0,4.610501281626202e-13,0.9922839506172839,2.7663007689757212e-12,True
mir223,1.0334558212043103,3.8776974894282272,1.9077235420768928,50.0,1.7045048014513384e-11,0.9228395061728395,3.409009602902677e-11,True
mir381p,1.026295754071189,3.5767203983623665,1.8011908021553207,72.0,9.075257314460427e-11,0.8888888888888888,1.3612885971690642e-10,True
