,group1_mean,group2_mean,log2FC,u_statistic,p_value,effect_size,q_value,significant_fdr
mir146a,1.0778890183210443,1.726777906388761,0.6798738962981308,331.5,0.00037227240502811537,0.48842592592592593,0.0007445448100562307,True
mir146b,1.0797989033967612,1.7351071827168538,0.6842621283542075,306.0,0.00011996600937369604,0.5277777777777778,0.0005923039446592775,True
mir155,1.0575588776660314,1.6271984499084367,0.6216522249754223,317.0,0.00019743464821975917,0.5108024691358024,0.0005923039446592775,True
mir203,1.0259855874534751,1.8212485265204894,0.8279173402700535,421.0,0.010739824973525127,0.35030864197530864,0.012887789968230152,True
mir223,1.0334558212043103,1.8456581895813085,0.8366586780020915,449.5,0.02574829725781908,0.30632716049382713,0.02574829725781908,True
mir381p,1.026295754071189,1.821129714020464,0.827387143821293,353.5,0.0009283725640516991,0.4544753086419753,0.0013925588460775489,True
