,mean_dCt,std_dCt
mir146a,0.43527777777777743,0.5617548327015011
mir146b,0.4911111111111109,0.5753298570771764
mir155,0.4449999999999995,0.4931791908482293
mir203,0.9349999999999999,0.3289593982762706
mir223,0.9302777777777779,0.3774386316143597
mir381p,0.9555555555555559,0.3351114479388648
