,correlation,p_value,method
plaque_index,-0.5233446955470774,6.2019557254847645e-09,Spearman
gingival_index,-0.4722369772213888,2.47253096599356e-07,Spearman
pocket_depth,-0.6186851178964353,9.642179085339425e-13,Spearman
bleeding_on_probing,-0.5659635793898782,1.7363319452153323e-10,Spearman
