,cv_scores,mean_cv_score,std_cv_score,test_auc,test_accuracy,test_precision,test_recall,test_f1,y_pred,y_pred_proba
Logistic Regression,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9666666666666668), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0)]",0.9986666666666667,0.006531972647421784,1.0,1.0,1.0,1.0,1.0,[0 0 1 1 1 0 0 0 1 1 1 0 1 0 0],"[0.07194545 0.1220411  0.99970783 0.96592371 0.99998089 0.0333001
 0.03135762 0.22680677 0.99487375 0.95009677 0.98049927 0.12000908
 0.99993832 0.08343694 0.01706106]"
Random Forest,"[np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9333333333333333), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9666666666666667), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9333333333333333), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9666666666666668), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(1.0), np.float64(0.9666666666666667), np.float64(1.0)]",0.9906666666666666,0.020044395171163867,1.0,1.0,1.0,1.0,1.0,[0 0 1 1 1 0 0 0 1 1 1 0 1 0 0],"[0.03 0.03 1.   0.78 1.   0.03 0.01 0.42 0.87 0.96 1.   0.04 1.   0.04
 0.  ]"
